ᆜ	j ɯ	jㅡ
ㄱㄱ	k o̞ ɡ o̞	고고
ㄹ혜	k ɯ n ʝ e̞	근헤
ㅇㅇ	ɯ ŋ	응
ㅈ	t͡ɕ	ㅈ
ㅈㅅ	t͡ɕ w e̞ sʰ o̞ ŋ	ㅈe송
ㅏ	a̠	아
ㅑ	j a̠	야
ㅓ	ʌ̹	어
ㅔ	e̞	에
ㅕ	j ʌ̹	여
ㅖ	j e̞	예
ㅗ	o̞	오
ㅘ	w a̠	와
ㅚ	w e̞	외
ㅛ	j o	요
ㅜ	u	우
ㅝ	w ʌ̹	워
ㅞ	w e̞	웨
ㅟ	ɥ i	위
ㅠ	j u	유
ㅡ	ɯ	으
ㅢ	ɰ i	의
ㅣ	i	이
가	k a̠	가
가가우스어	k a̠ ɡ a̠ u sʰ ɯ ʌ̹	가가우스어
가감하다	k a̠ ɡ a̠ m ɦ a̠ d a̠	가감하다
가강수량	k a̠ ɡ a̠ ŋ sʰ u ɾ j a̠ ŋ	가강수량
가갸시절	k a̠ ɡ j a̠ ɕʰ i d͡ʑ ʌ̹ ɭ	가갸시절
가공되다	k a̠ː ɡ o̞ ŋ d w e̞ d a̠	가공되다
가공하다	k a̠ ɡ o̞ ŋ ɦ a̠ d a̠	가공하다
가관	k a̠ ɡ w a̠ n	가관
가금	k a̠ ɡ ɯ m	가금
가껍다	k a̠ k͈ ʌ̹ p̚ t͈ a̠	가껍따
가꾸다	k a̠ k͈ u d a̠	가꾸다
가나다순	k a̠ n a̠ d a̠ sʰ u n	가나다순
가난히	k a̠ n a̠ n ʝ i	가난히
가누다	k a̠ n u d a̠	가누다
가닛	k a̠ n i t̚	가닏
가다가	k a̠ d a̠ ɡ a̠	가다가
가다붙다	k a̠ d a̠ b u t̚ t͈ a̠	가다붇따
가달	k a̠ d a̠ ɭ	가달
가돌리늄	k a̠ d o̞ ʎ ʎ i ɲ u m	가돌리눔
가동되다	k a̠ d o̞ ŋ d w e̞ d a̠	가동되다
가동하다	k a̠ d o̞ ŋ ɦ a̠ d a̠	가동하다
가두녀성	k a̠ d u ɲ ʌ̹ sʰ ʌ̹ ŋ	가두너성
가두다	k a̠ d u d a̠	가두다
가라	k a̠ ɾ a̠	가라
가라앉다	k a̠ ɾ a̠ a̠ n t͈ a̠	가라안따
가락점	k a̠ ɾ a̠ k̚ t͡ɕ͈ ʌ̹ m	가락쩜
가락지	k a̠ ɾ a̠ k̚ t͡ɕ͈ i	가락찌
가락지빵	k a̠ ɾ a̠ k̚ t͡ɕ͈ i p͈ a̠ ŋ	가락찌빵
가람	k a̠ ɾ a̠ m	가람
가련하다	k a̠ː ɾ j ʌ̹ n ɦ a̠ d a̠	가련하다
가련히	k a̠ ɾ j ʌ̹ n ʝ i	가련히
가렵다	k a̠ ɾ j ʌ̹ p̚ t͈ a̠	가렵따
가령가령ᄒᆞ다	k a̠ ɾ j ʌ̹ ŋ ɡ a̠ ɾ j ʌ̹ ŋ ɦ a̠ d a̠	가령가령하다
가로막	k a̠ ɾ o̞ m a̠ k̚	가로막
가로지다	k a̠ ɾ o̞ d͡ʑ i d a̠	가로지다
가뢰	k a̠ ɾ w e̞	가뢰
가름	k a̠ ɾ ɯ m	가름
가마	k a̠ m a̠	가마
가마괴	k a̠ m a̠ ɡ w e̞	가마괴
가마치	k a̠ m a̠ t͡ɕʰ i	가마치
가멸다	k a̠ː m j ʌ̹ ɭ d a̠	가멸다
가뭇가뭇	k a̠ m u t̚ k͈ a̠ m u t̚	가묻까묻
가벼워지다	k a̠ b j ʌ̹ w ʌ̹ d͡ʑ i d a̠	가벼워지다
가변	k a̠ b j ʌ̹ n	가변
가보로네	k a̠ b o̞ ɾ o̞ n e̞	가보로네
가불기	k a̠ b u ɭ ɡ i	가불기
가쁘다	k a̠ p͈ ɯ d a̠	가쁘다
가산되다	k a̠ sʰ a̠ n d w e̞ d a̠	가산되다
가산하다	k a̠ sʰ a̠ n ɦ a̠ d a̠	가산하다
가설	k a̠ sʰ ʌ̹ ɭ	가설
가설되다	k a̠ sʰ ʌ̹ ɭ d w e̞ d a̠	가설되다
가설법	k a̠ː sʰ ʌ̹ ɭ p͈ ʌ̹ p̚	가설뻡
가설하다	k a̠ sʰ ʌ̹ ɾ ɦ a̠ d a̠	가설하다
가성비	k a̠ sʰ ʌ̹ ŋ b i	가성비
가세하다	k a̠ sʰ e̞ ɦ a̠ d a̠	가세하다
가소롭다	k a̠ː sʰ o̞ ɾ o̞ p̚ t͈ a̠	가소롭따
가소제	k a̠ː sʰ o̞ d͡ʑ e̞	가소제
가스나이	k a̠ sʰ ɯ n a̠ i	가스나이
가스파초	k a̠ sʰ ɯ pʰ a̠ t͡ɕʰ o̞	가스파초
가슴뼈	k a̠ sʰ ɯ m p͈ j ʌ̹	가슴뼈
가슴주머니	k a̠ sʰ ɯ m d͡ʑ u m ʌ̹ n i	가슴주머니
가시납지리	k a̠ ɕʰ i n a̠ p̚ t͡ɕ͈ i ɾ i	가시납찌리
가시두더지	k a̠ ɕʰ i d u d ʌ̹ d͡ʑ i	가시두더지
가시버시	k a̠ ɕʰ i b ʌ̹ ɕʰ i	가시버시
가시비름	k a̠ ɕʰ i b i ɾ ɯ m	가시비름
가시어머니	k a̠ ɕʰ i ʌ̹ m ʌ̹ n i	가시어머니
가시집	k a̠ ɕʰ i d͡ʑ i p̚	가시집
가식하다	k a̠ː ɕʰ i kʰ a̠ d a̠	가시카다
가실	k a̠ ɕʰ i ɭ	가실
가쓰오부시	k a̠ s͈ ɯ o̞ b u ɕʰ i	가쓰오부시
가언적	k a̠ ʌ̹ ɲ d͡ʑ ʌ̹ k̚	가언적
가없다	k a̠ː ʌ̹ p̚ t͈ a̠	가업따
가연성	k a̠ː j ʌ̹ n s͈ ʌ̹ ŋ	가연썽
가웃	k a̠ u t̚	가욷
가위주먹	k a̠ ɥ i d͡ʑ u m ʌ̹ k̚	가위주먹
가이	k a̠ i	가이
가장	k a̠ d͡ʑ a̠ ŋ	가장
가정	k a̠ d͡ʑ ʌ̹ ŋ	가정
가정교사	k a̠ d͡ʑ ʌ̹ ŋ k j oː sʰ a̠	가정교사
가정하다	k a̠ː d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠	가정하다
가주	k a̠ d͡ʑ u	가주
가죽끈	k a̠ d͡ʑ u k̚ k͈ ɯ n	가죽끈
가지가지	k a̠ d͡ʑ i ɡ a̠ d͡ʑ i	가지가지
가찹다	k a̠ t͡ɕʰ a̠ p̚ t͈ a̠	가찹따
가창	k a̠ t͡ɕʰ a̠ ŋ	가창
가창오리	k a̠ t͡ɕʰ a̠ ŋ o̞ ɾ i	가창오리
가철	k a̠ː t͡ɕʰ ʌ̹ ɭ	가철
가체	k a̠ t͡ɕʰ e̞	가체
가타나	k a̠ tʰ a̠ n a̠	가타나
가티노	k a̠ tʰ i n o̞	가티노
가하다	k a̠ ɦ a̠ d a̠	가하다
가혹	k a̠ː β o̞ k̚	가혹
각	k a̠ k̚	각
각골난망	k a̠ k̚ k͈ o̞ ɭ ɭ a̠ n m a̠ ŋ	각꼴란망
각목	k a̠ ŋ m o̞ k̚	강목
각오	k a̠ ɡ o̞	가고
간	k a̠ n	간
간계	k a̠ n ɡ j e̞	간계
간곡	k a̠ː n ɡ o̞ k̚	간곡
간곡하다	k a̠ː n ɡ o̞ kʰ a̠ d a̠	간고카다
간균	k a̠ n ɡ j u n	간균
간나	k a̠ n n a̠	간나
간난	k a̠ n n a̠ n	간난
간단	k a̠ n d a̠ n	간단
간단하다	k a̠ n t͈ a̠ n ɦ a̠ d a̠	간딴하다
간데없이	k a̠ n d e̞ ʌ̹ p ɕ͈ i	간데업씨
간모	k a̠ n m o̞	간모
간물	k a̠ n m u ɭ	간물
간밤	k a̠ n b a̠ m	간밤
간병인	k a̠ n b j ʌ̹ ŋ i n	간병인
간부회	k a̠ n b u β w e̞	간부회
간사히	k a̠ n sʰ a̠ ʝ i	간사히
간섭하다	k a̠ n sʰ ʌ̹ pʰ a̠ d a̠	간서파다
간신	k a̠ n ɕʰ i n	간신
간신히	k a̠ n ɕʰ i n ʝ i	간신히
간쑤	k a̠ n s͈ u	간쑤
간악	k a̠ n a̠ k̚	가낙
간장	k a̠ ɲ d͡ʑ a̠ ŋ	간장
간접화법	k a̠ ɲ d͡ʑ ʌ̹ pʰ w a̠ b ʌ̹ p̚	간저퐈법
간증	k a̠ ɲ d͡ʑ ɯ ŋ	간증
간직하다	k a̠ ɲ d͡ʑ i kʰ a̠ d a̠	간지카다
간청	k a̠ː ɲ t͡ɕʰ ʌ̹ ŋ	간청
간청하다	k a̠ː ɲ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠	간청하다
간체자	k a̠ ɲ t͡ɕʰ e̞ d͡ʑ a̠	간체자
간추리다	k a̠ ɲ t͡ɕʰ u ɾ i d a̠	간추리다
간파	k a̠ n pʰ a̠	간파
간호	k a̠ n β o̞	간호
간호하다	k a̠ n β o̞ ɦ a̠ d a̠	간호하다
갇히다	k a̠ t͡ɕʰ i d a̠	가치다
갈	k a̠ ɭ	갈
갈겨니	k a̠ ɭ ɡ j ʌ̹ n i	갈겨니
갈고닦다	k a̠ː ɭ ɡ o̞ d a̠ k̚ t͈ a̠	갈고닥따
갈고랑이	k a̠ ɭ ɡ o̞ ɾ a̠ ŋ i	갈고랑이
갈까마귀	k a̠ ɭ k͈ a̠ m a̠ ɡ ɥ i	갈까마귀
갈나무	k a̠ ɭ ɭ a̠ m u	갈라무
갈다	k a̠ ɭ d a̠	갈다
갈닦다	k a̠ː ɭ d a̠ k̚ t͈ a̠	갈닥따
갈라지다	k a̠ ɭ ɭ a̠ d͡ʑ i d a̠	갈라지다
갈리	k a̠ ʎ ʎ i	갈리
갈리다	k a̠ ʎ ʎ i d a̠	갈리다
갈림	k a̠ ʎ ʎ i m	갈림
갈문망둑	k a̠ ɭ m u n m a̠ ŋ d u k̚	갈문망둑
갈밭	k a̠ ɭ b a̠ t̚	갈받
갈밭쥐	k a̠ ɭ b a̠ t̚ t͡ɕ͈ ɥ i	갈받쮜
갈보	k a̠ ɭ b o̞	갈보
갈보집	k a̠ ɭ b o̞ d͡ʑ i p̚	갈보집
갈부수다	k a̠ː ɭ b u sʰ u d a̠	갈부수다
갈쓰뚝	k a̠ ɭ s͈ ɯ t͈ u k̚	갈쓰뚝
갈아들다	k a̠ ɾ a̠ d ɯ ɭ d a̠	가라들다
갈아신다	k a̠ ɾ a̠ ɕʰ i n d a̠	가라신다
갈아입다	k a̠ ɾ a̠ i p̚ t͈ a̠	가라입따
갈옷	k a̠ ɾ o̞ t̚	가롣
갈음이름씨	k a̠ ɾ ɯ m i ɾ ɯ m ɕ͈ i	가르미름씨
갈음하다	k a̠ ɾ ɯ m ɦ a̠ d a̠	가름하다
갈참나무	k a̠ ʎ t͡ɕʰ a̠ m n a̠ m u	갈참나무
갈치	k a̠ ʎ t͡ɕʰ i	갈치
갈퀴	k a̠ ɭ kʰ ɥ i	갈퀴
갈퀴다	k a̠ ɭ kʰ ɥ i d a̠	갈퀴다
갈토	k a̠ ɭ tʰ o̞	갈토
갉	k a̠ k̚	각
감	k a̠ m	감
감기다	k a̠ m ɡ i d a̠	감기다
감나무	k a̠ː m n a̠ m u	감나무
감당되다	k a̠ m d a̠ ŋ d w e̞ d a̠	감당되다
감돌고기	k a̠ m d o̞ ɭ ɡ o̞ ɡ i	감돌고기
감동사	k a̠ː m d o̞ ŋ sʰ a̠	감동사
감람	k a̠ m n a̠ m	감남
감람나무	k a̠ m n a̠ m n a̠ m u	감남나무
감로	k a̠ m n o̞	감노
감명되다	k a̠ː m m j ʌ̹ ŋ d w e̞ d a̠	감명되다
감명하다	k a̠ː m m j ʌ̹ ŋ ɦ a̠ d a̠	감명하다
감비아	k a̠ m b i a̠	감비아
감사	k a̠ m sʰ a̠	감사
감송	k a̠ m sʰ o̞ ŋ	감송
감쇠기	k a̠ː m sʰ w e̞ ɡ i	감쇠기
감수	k a̠ m sʰ u	감수
감숙	k a̠ m sʰ u k̚	감숙
감싸다	k a̠ː m s͈ a̠ d a̠	감싸다
감염증	k a̠ː m j ʌ̹ m t͡ɕ͈ ɯ ŋ	가몀쯩
감응	k a̠ m ɯ ŋ	가믕
감자	k a̠ m d͡ʑ a̠	감자
감정아이	k a̠ m d͡ʑ ʌ̹ ŋ a̠ i	감정아이
감지	k a̠ː m d͡ʑ i	감지
감지하다	k a̠ː m d͡ʑ i ɦ a̠ d a̠	감지하다
감추다	k a̠ m t͡ɕʰ u d a̠	감추다
감탄사	k a̠ː m tʰ a̠ n sʰ a̠	감탄사
감탄하다	k a̠ː m tʰ a̠ n ɦ a̠ d a̠	감탄하다
감투	k a̠ m tʰ u	감투
감파르다	k a̠ː m pʰ a̠ ɾ ɯ d a̠	감파르다
갑	k a̠ p̚	갑
갑각	k a̠ p̚ k͈ a̠ k̚	갑깍
갑각류	k a̠ p̚ k͈ a̠ ŋ ɲ u	갑깡누
갑작스럽다	k a̠ p̚ t͡ɕ͈ a̠ k s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠	갑짝쓰럽따
값	k a̠ p̚	갑
갓	k a̠ t̚	갇
갓난아기	k a̠ n n a̠ n a̠ ɡ i	간나나기
갓난아이	k a̠ n n a̠ n a̠ i	간나나이
강	k a̠ ŋ	강
강계	k a̠ ŋ ɡ j e̞	강계
강구다	k a̠ ŋ ɡ u d a̠	강구다
강권	k a̠ ŋ k͈ w ʌ̹ n	강꿘
강권하다	k a̠ː ŋ ɡ w ʌ̹ n ɦ a̠ d a̠	강권하다
강남	k a̠ ŋ n a̠ m	강남
강남천자국	k a̠ ŋ n a̠ m t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠ ɡ u k̚	강남천자국
강녕	k a̠ ŋ ɲ ʌ̹ ŋ	강넝
강단	k a̠ ŋ d a̠ n	강단
강도다리	k a̠ ŋ d o̞ d a̠ ɾ i	강도다리
강소	k a̠ ŋ sʰ o̞	강소
강속구	k a̠ ŋ sʰ o̞ k̚ k͈ u	강속꾸
강신무	k a̠ː ŋ ɕʰ i n m u	강신무
강압	k a̠ː ŋ a̠ p̚	강압
강어귀	k a̠ ŋ ʌ̹ ɡ ɥ i	강어귀
강점	k a̠ ŋ t͡ɕ͈ ʌ̹ m	강쩜
강점되다	k a̠ː ŋ d͡ʑ ʌ̹ m d w e̞ d a̠	강점되다
강점하다	k a̠ː ŋ d͡ʑ ʌ̹ m ɦ a̠ d a̠	강점하다
강조	k a̠ ŋ d͡ʑ o̞	강조
강탈	k a̠ː ŋ tʰ a̠ ɭ	강탈
강탈되다	k a̠ː ŋ tʰ a̠ ɭ d w e̞ d a̠	강탈되다
