ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
ㄱㄴㄷ순	k a̠ n a̠ d a̠ sʰ u n	가나다순
ㄴㄴ	n o̞ n o̞	노노
ㅋㅋㅋ	k x ɯ k x ɯ k x ɯ	ㄱ흑흑흐
가가린	k a̠ ɡ a̠ ɾ i n	가가린
가감	k a̠ ɡ a̠ m	가감
가게	k a̠ː ɡ e̞	가게
가격	k a̠ ɡ j ʌ̹ k̚	가격
가계	k a̠ ɡ j e̞	가계
가공품	k a̠ ɡ o̞ ŋ pʰ u m	가공품
가구	k a̠ ɡ u	가구
가깝다	k a̠ k͈ a̠ p̚ t͈ a̠	가깝따
가끔	k a̠ k͈ ɯ m	가끔
가끔씩	k a̠ k͈ ɯ m ɕ͈ i k̚	가끔씩
가나	k a̠ n a̠	가나
가난하다	k a̠ n a̠ n ɦ a̠ d a̠	가난하다
가는쥐	k a̠ n ɯ ɲ d͡ʑ ɥ i	가는쥐
가늘다	k a̠ n ɯ ɭ d a̠	가늘다
가늠	k a̠ n ɯ m	가늠
가늠하다	k a̠ n ɯ m ɦ a̠ d a̠	가늠하다
가능성	k a̠ː n ɯ ŋ s͈ ʌ̹ ŋ	가능썽
가능하다	k a̠ː n ɯ ŋ ɦ a̠ d a̠	가능하다
가독성	k a̠ d o̞ k s͈ ʌ̹ ŋ	가독썽
가동	k a̠ d o̞ ŋ	가동
가두리	k a̠ː d u ɾ i	가두리
가드	k a̠ d ɯ	가드
가득	k a̠ d ɯ k̚	가득
가득가득	k a̠ d ɯ k̚ k͈ a̠ d ɯ k̚	가득까득
가득하다	k a̠ d ɯ kʰ a̠ d a̠	가드카다
가따까나	k a̠ t͈ a̠ k͈ a̠ n a̠	가따까나
가라데	k a̠ ɾ a̠ d e̞	가라데
가라오케	k a̠ ɾ a̠ o̞ kʰ e̞	가라오케
가랑비	k a̠ ɾ a̠ ŋ b i	가랑비
가령	k a̠ː ɾ j ʌ̹ ŋ	가령
가로	k a̠ ɾ o̞	가로
가로다	k a̠ ɾ o̞ d a̠	가로다
가로등	k a̠ ɾ o̞ d ɯ ŋ	가로등
가루	k a̠ ɾ u	가루
가르치다	k a̠ ɾ ɯ t͡ɕʰ i d a̠	가르치다
가르침	k a̠ ɾ ɯ t͡ɕʰ i m	가르침
가리다	k a̠ ɾ i d a̠	가리다
가리비	k a̠ ɾ i b i	가리비
가마솥	k a̠ m a̠ sʰ o̞ t̚	가마솓
가마우지	k a̠ m a̠ u d͡ʑ i	가마우지
가만	k a̠ m a̠ n	가만
가만가만	k a̠ m a̠ n ɡ a̠ m a̠ n	가만가만
가만두다	k a̠ m a̠ n d u d a̠	가만두다
가만히	k a̠ m a̠ n ʝ i	가만히
가맣다	k a̠ː m a̠ tʰ a̠	가마타
가면	k a̠ː m j ʌ̹ n	가면
가면극	k a̠ː m j ʌ̹ n ɡ ɯ k̚	가면극
가명	k a̠ː m j ʌ̹ ŋ	가명
가무	k a̠ m u	가무
가무이야기	k a̠ m u i j a̠ ɡ i	가무이야기
가문	k a̠ m u n	가문
가물가물	k a̠ m u ɭ ɡ a̠ m u ɭ	가물가물
가물치	k a̠ m u ʎ t͡ɕʰ i	가물치
가뭄	k a̠ m u m	가뭄
가방	k a̠ b a̠ ŋ	가방
가보	k a̠ b o̞	가보
가봉	k a̠ b o̞ ŋ	가봉
가부좌	k a̠ b u d͡ʑ w a̠	가부좌
가브리엘	k a̠ b ɯ ɾ i e̞ ɭ	가브리엘
가사	k a̠ sʰ a̠	가사
가산	k a̠ sʰ a̠ n	가산
가세	k a̠ sʰ e̞	가세
가숭어	k a̠ː sʰ u ŋ ʌ̹	가수어
가스	k͈ a̠ sʰ ɯ	까스
가시	k a̠ ɕʰ i	가시
가시고기	k a̠ ɕʰ i ɡ o̞ ɡ i	가시고기
가시나	k a̠ ɕʰ i n a̠	가시나
가시나무	k a̠ ɕʰ i n a̠ m u	가시나무
가시다	k a̠ ɕʰ i d a̠	가시다
가시아버지	k a̠ ɕʰ i a̠ b ʌ̹ d͡ʑ i	가시아버지
가시화	k a̠ ɕʰ i β w a̠	가시화
가식	k a̠ː ɕʰ i k̚	가식
가야금	k a̠ j a̠ ɡ ɯ m	가야금
가엾다	k a̠ː j ʌ̹ p̚ t͈ a̠	가엽따
가운데	k a̠ u n d e̞	가운데
