ᆜ	j ɯ
ㄱㄱ	k o̞ ɡ o̞
ㄹ혜	k ɯ n ʝ e̞
ㅇㅇ	ɯ ŋ
ㅈ	t͡ɕ
ㅈㅅ	t͡ɕ w e̞ sʰ o̞ ŋ
ㅏ	a̠
ㅑ	j a̠
ㅓ	ʌ̹
ㅔ	e̞
ㅕ	j ʌ̹
ㅖ	j e̞
ㅗ	o̞
ㅘ	w a̠
ㅚ	w e̞
ㅛ	j o
ㅜ	u
ㅝ	w ʌ̹
ㅞ	w e̞
ㅟ	ɥ i
ㅠ	j u
ㅡ	ɯ
ㅢ	ɰ i
ㅣ	i
가	k a̠
가가우스어	k a̠ ɡ a̠ u sʰ ɯ ʌ̹
가감하다	k a̠ ɡ a̠ m ɦ a̠ d a̠
가강수량	k a̠ ɡ a̠ ŋ sʰ u ɾ j a̠ ŋ
가갸시절	k a̠ ɡ j a̠ ɕʰ i d͡ʑ ʌ̹ ɭ
가공되다	k a̠ː ɡ o̞ ŋ d w e̞ d a̠
가공하다	k a̠ ɡ o̞ ŋ ɦ a̠ d a̠
가관	k a̠ ɡ w a̠ n
가금	k a̠ ɡ ɯ m
가껍다	k a̠ k͈ ʌ̹ p̚ t͈ a̠
가꾸다	k a̠ k͈ u d a̠
가나다순	k a̠ n a̠ d a̠ sʰ u n
가난히	k a̠ n a̠ n ʝ i
가누다	k a̠ n u d a̠
가닛	k a̠ n i t̚
가다가	k a̠ d a̠ ɡ a̠
가다붙다	k a̠ d a̠ b u t̚ t͈ a̠
가달	k a̠ d a̠ ɭ
가돌리늄	k a̠ d o̞ ʎ ʎ i ɲ u m
가동되다	k a̠ d o̞ ŋ d w e̞ d a̠
가동하다	k a̠ d o̞ ŋ ɦ a̠ d a̠
가두녀성	k a̠ d u ɲ ʌ̹ sʰ ʌ̹ ŋ
가두다	k a̠ d u d a̠
가라	k a̠ ɾ a̠
가라앉다	k a̠ ɾ a̠ a̠ n t͈ a̠
가락점	k a̠ ɾ a̠ k̚ t͡ɕ͈ ʌ̹ m
가락지	k a̠ ɾ a̠ k̚ t͡ɕ͈ i
가락지빵	k a̠ ɾ a̠ k̚ t͡ɕ͈ i p͈ a̠ ŋ
가람	k a̠ ɾ a̠ m
가련하다	k a̠ː ɾ j ʌ̹ n ɦ a̠ d a̠
가련히	k a̠ ɾ j ʌ̹ n ʝ i
가렵다	k a̠ ɾ j ʌ̹ p̚ t͈ a̠
가령가령ᄒᆞ다	k a̠ ɾ j ʌ̹ ŋ ɡ a̠ ɾ j ʌ̹ ŋ ɦ a̠ d a̠
가로막	k a̠ ɾ o̞ m a̠ k̚
가로지다	k a̠ ɾ o̞ d͡ʑ i d a̠
가뢰	k a̠ ɾ w e̞
가름	k a̠ ɾ ɯ m
가마	k a̠ m a̠
가마괴	k a̠ m a̠ ɡ w e̞
가마치	k a̠ m a̠ t͡ɕʰ i
가멸다	k a̠ː m j ʌ̹ ɭ d a̠
가뭇가뭇	k a̠ m u t̚ k͈ a̠ m u t̚
